GroupID,Category,Term,Description,LogP,Log(q-value),Genes,Symbols,InTerm_InList,Cluster
1_Summary,GO Biological Processes,GO:0051493,regulation of cytoskeleton organization,-6.446109363,-2.571,"11465,12562,12576,12632,13169,13494,15182,15461,16202,17886,17926,18484,18596,18708,18709,18754,18763,18846,19062,20194,20356,20410,20740,20742,21803,26419,27360,30948,56430,66616,68041,68810,72042,76123,76441,76709,99889,100732,101497,102774,110380,208177,213556,225523,234094,234407,12015,12306,12461,12464,16000,16600,17281,22059,22241,22632,27354,69714,69807,74143,114874,230872,231225,232944,234776,245474,387524,14726,11607,12567,14567,15516,17540,18208,19091,19211,19280,20315,20655,20657,20928,60596,67605,75620,214063,233489,240672,242202,271457,320736,13844,13845,14694,24047,58799,64085,71436,74055,110829,208643,239250,399558,16911,20910,20977,68077,231580,327959","Actg1,Cdh5,Cdkn1b,Cfl2,Dbnl,Drg1,Hdac2,Hras,Ilk,Myh9,Myoc,Pam,Pdgfrb,Pik3r1,Pik3r2,Prkce,Pkd1,Plxna3,Inpp5k,S100a10,Sema5a,Sorbs3,Sptan1,Sptbn1,Tgfb1,Mapk8,Add3,Bin1,Clip1,Snx9,Mid1ip1,Nexn,Cotl1,Gpsm2,Daam2,Arpc2,Arfip1,Mapre3,Plekhg2,Bbs4,Shroom2,Phldb2,Plekhh2,Cep120,Arhgef10,Colgalt1,Bad,Anxa2,Cct2,Cct4,Igf1,Klf4,Fyco1,Trp53,Ulk1,Yy1,Nbn,Tfpt,Trim32,Opa1,Ddhd1,Crocc,Tapt1,Mark4,Atmin,Dkc1,Znrf2,Pdpn,Agtr1a,Cdk4,Gdi1,Hsp90ab1,Irag1,Ntn1,Prkg1,Pten,Ptprs,Cxcl12,Sod1,Sod3,Abcc9,Gucy1a1,Akt1s1,Kxd1,Dnajc16,Picalm,Dusp5,Pde5a,Rab5a,Vstm4,Ephb2,Ephb3,Rack1,Ccl19,Crbn,Clstn2,Flrt3,Plce1,Lims1,Eif4g1,Slitrk6,Flrt2,Lmo4,Stxbp1,Syp,Nop53,Gak,Xaf1",108/-,SC_F
2_Summary,Reactome Gene Sets,R-MMU-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",-6.412362742,-2.571,"11465,11671,12461,15516,16443,16449,16563,17886,17978,18708,18709,19053,19386,20619,20742,21873,22142,22143,27360,56389,56430,59009,64652,67037,69668,70827,75669,76709,77480,94190,98932,101497,106628,170791,192662,213498,219140,226849,227613,227937,233489,234094,238505,242202,319899,330177","Actg1,Aldh3a2,Cct2,Hsp90ab1,Itsn1,Jag1,Kif2a,Myh9,Ncoa2,Pik3r1,Pik3r2,Ppp2cb,Ranbp2,Snap23,Sptbn1,Tjp2,Tuba1a,Tuba1b,Add3,Stx5a,Clip1,Sh3rf1,Nisch,Pmf1,Ccdc115,Trak2,Pik3r4,Arpc2,Kidins220,Ophn1,Myl9,Plekhg2,Trip10,Rbm39,Arhgdia,Arhgef11,Spata13,Ppp2r5a,Tubb4b,Pkp4,Picalm,Arhgef10,Mtr,Pde5a,Dock6,Taok3",46/-,SC_F
3_Summary,GO Biological Processes,GO:0035239,tube morphogenesis - SC_F,-5.807924997,-2.308,"11465,12306,12505,13666,13805,13809,13819,13844,13845,14182,14368,14595,14645,14726,15213,15229,15446,16000,16202,16372,16449,16911,17286,17313,17684,17886,18081,18208,18596,18763,18799,19211,20315,20356,20397,21803,21810,21817,27428,53417,57875,59308,66515,67122,67836,74123,74143,74533,102774,105278,216274,234366,269152,320736,320878,11607,12562,20348,20869,20928,81702,226841,268977","Actg1,Anxa2,Cd44,Eif2ak3,Eng,Enpep,Epas1,Ephb2,Ephb3,Fgfr1,Fzd6,B4galt1,Glul,Pdpn,Hey1,Foxd1,Hpgd,Igf1,Ilk,Irx2,Jag1,Lmo4,Meox2,Mgp,Cited2,Myh9,Ninj1,Ntn1,Pdgfrb,Pkd1,Plcd1,Pten,Cxcl12,Sema5a,Sgpl1,Tgfb1,Tgfbi,Tgm2,Shroom3,Hif3a,Angptl4,Emcn,Cul7,Nrarp,Wdr83,Foxp4,Opa1,Gzf1,Bbs4,Cdk20,Cep290,Gatad2a,Kif26b,Vstm4,Mical2,Agtr1a,Cdh5,Sema3c,Stk11,Abcc9,Ankrd17,Vash2,Ltbp1",63/-,SC_F
4_Summary,GO Biological Processes,GO:0042176,regulation of protein catabolic process,-5.6975,-2.299,"12306,12328,12576,13010,13194,13666,14694,15516,18550,18763,19186,19188,19358,20620,24086,26419,28075,56371,56389,59009,66498,66616,68077,69807,70247,77125,83814,94190,101240,210992,229317,260302,414872,12894,15277,16000,16549,17281,18555,18754,19211,20773,20869,22241,67269,72287,74203,77040,93679,216805,225929,384783,12015,12258,12505,12905,15182,16600,17886,18708,20194,22059,30948,54208,67770,112407,241576","Anxa2,Caml,Cdkn1b,Cst3,Ddb1,Eif2ak3,Rack1,Hsp90ab1,Furin,Pkd1,Psme1,Psme2,Rad23a,Plk2,Tlk2,Mapk8,Desi1,Fzr1,Stx5a,Sh3rf1,Dda1,Snx9,Nop53,Trim32,Psmd1,Il33,Nedd4l,Ophn1,Wdr91,Lpcat1,Eif2a,Gga3,Zyg11b,Cpt1a,Hk2,Igf1,Khsrp,Fyco1,Cdk16,Prkce,Pten,Sptlc2,Stk11,Ulk1,Agtpbp1,Plekhf1,Eif4enif1,Atg16l1,Trim8,Flcn,Patl1,Irs2,Bad,Serping1,Cd44,Cradd,Hdac2,Klf4,Myh9,Pik3r1,S100a10,Trp53,Bin1,Arl6ip1,Caap1,Egln3,Ldlrad3",67/-,SC_F
5_Summary,Reactome Gene Sets,R-MMU-109582,Hemostasis,-5.582972687,-2.277,###############################################################################################################################################################################################################################################################,"Actg1,Serping1,Anxa2,Cd44,Cd9,Gnb5,Gng12,Pdpn,Hdac2,Hras,Igf1,Itpr3,Kif2a,Irag1,Pik3r1,Pik3r2,Prkce,Ppp2cb,Prkg1,S100a10,Sod1,Tgfb1,Thbd,Tuba1a,Tuba1b,Yes1,Ak3,Actn4,Ppil2,Gng11,Cdc37l1,Chid1,Ppp2r5a,Tubb4b,Pde5a,Ppia,Brpf3,Kif26b,Rab5a,Dock6",40/-,SC_F
1_Summary,GO Biological Processes,GO:0030335,positive regulation of cell migration,-11.97408156,-7.799,"11674,11852,12389,12822,13609,14268,14751,14756,16002,16011,16337,16367,17869,18479,18595,18606,19242,20130,20315,20347,20351,20848,22339,22352,26921,27226,66102,66922,67374,67916,68585,80837,83397,84004,109270,23828,12306,14367,14645,17304,18799,19876,21802,27279,53417,94352,230126,319504,11535,11816,93757,15902,21817,50768,18645,29815,54403,56747,74205","Aldoa,Rhob,Cav1,Col18a1,S1pr1,Fn1,Gpi1,Gpld1,Igf2,Igfbp5,Insr,Irs1,Myc,Pak1,Pdgfra,Enpp2,Ptn,Rras,Cxcl12,Sema3b,Sema4a,Stat3,Vegfa,Vim,Map4k4,Pla2g7,Cxcl16,Rras2,Jam2,Plpp3,Rtn4,Rhoj,Akap12,Mcam,Prr5,Popdc1,Anxa2,Fzd5,Glul,Mfge8,Plcd1,Robo1,Tgfa,Tnfrsf12a,Hif3a,Loxl2,Shb,Nrcam,Adm,Apoe,Immp2l,Id2,Tgm2,Dlc1,Pfn2,Bcar3,Slc4a4,Sez6l,Acsl3",59/-,Muller
2_Summary,GO Biological Processes,GO:0051960,regulation of nervous system development,-10.04214257,-6.497,"11816,12306,12677,14168,14268,14580,15902,17755,17869,18479,18606,19242,19266,19645,19876,20315,20351,20450,20539,20788,21817,22339,22352,27279,65945,67374,68585,77125,105827,216190,245450,11932,12389,14086,18007,18377,18645,26921,56455,73710,101490,216616,216739,234267,319504,12349,211770,230126,11829,20498,97998,16010,16011,20378,55942,66102,109270,14284,16002,16337,17967,20848,27360,11535,104099","Apoe,Anxa2,Vsx2,Fgf13,Fn1,Gfap,Id2,Map1b,Myc,Pak1,Enpp2,Ptn,Ptprd,Rb1,Robo1,Cxcl12,Sema4a,St8sia2,Slc7a5,Srebf2,Tgm2,Vegfa,Vim,Tnfrsf12a,Clstn1,Jam2,Rtn4,Il33,Amigo2,Appl2,Slitrk2,Atp1b2,Cav1,Fscn1,Neo1,Omg,Pfn2,Map4k4,Dynll1,Tubb2b,Inpp5f,Efemp1,Acsl6,Gpm6a,Nrcam,Car2,Trib1,Shb,Aqp4,Slc12a4,Deptor,Igfbp4,Igfbp5,Frzb,Sertad1,Cxcl16,Prr5,Fosl2,Igf2,Insr,Ncam1,Stat3,Add3,Adm,Itga9",65/-,Muller
3_Summary,GO Biological Processes,GO:0098609,cell-cell adhesion,-9.140004599,-5.799,"1,182,911,877,119,320,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Aqp4,Arvcf,Atp1b2,Ncam1,Neo1,Pdgfra,Ptprd,Robo1,Cxcl12,Cdh23,Vegfa,Popdc1,Pvr,Celsr2,Cadm1,Ttyh1,Nectin3,Clstn1,Jam2,Plpp3,Megf10,Mcam,Itga9,Amigo2,Cadm2,Slitrk2,Nrcam,Sdc3,Actn1",29/-,Muller
4_Summary,GO Biological Processes,GO:0046942,carboxylic acid transport,-7.499455543,-4.356,"11,816,119,881,458,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Apoe,Slc7a2,Gfap,Kcnj10,Kcnk1,Myc,Pak1,Pla2g5,Slc1a2,Slc7a5,Abcc5,Ttyh1,Acsl3,Ttyh3,Slc16a3,Sfxn5,Acsl6,Slc6a1,Slc6a11,Slc2a3,Slc4a4,Fgf13,Glul,Ldha,Prr5,Atp1a1,Atp1b2,Atp1b3,Slc12a4,Slc15a2,Aqp4,Car2,Add3,Slc22a17,A2m,Slc41a2,Xpr1",37/-,Muller
5_Summary,GO Biological Processes,GO:1901888,regulation of cell junction assembly,-7.25120664,-4.184,"123,891,317,514,367,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Cav1,Dclk1,Fzd5,Gpm6b,Map1b,Enpp2,Ptprd,Robo1,Sema4a,St8sia2,Vegfa,Map4k4,Dlc1,Nectin3,Clstn1,Rtn4,Amigo2,Slitrk2,Caskin1,Apoe,Rhob,Ptn,Gpm6a,Nrcam,Clu,Fscn1,Pak1,Pfn2,Dynll1,Synpo",30/-,Muller
